delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.0,0.03448200225830078,"[51.33474711292562, 51.21755387506459]","[52.66949422585124, 52.43510775012918]","[133.47471129256192, 121.75538750645885]",False,True
0.01,0.01,0.08523988723754883,"[53.31782758858804, 53.037519375473416]","[55.30090806425045, 54.857484875882236]","[198.30804756624156, 181.99655004088237]",False,True
0.01,0.02,0.13584208488464355,"[55.6290206193101, 55.149825471987484]","[57.94021365003215, 57.262131568501545]","[231.11930307220553, 211.23060965140644]",False,True
0.01,0.03,0.18863987922668457,"[58.099057727198584, 57.436698107140394]","[60.56909483508708, 59.723570742293305]","[247.00371078884905, 228.68726351529105]",False,True
0.01,0.04,0.23945403099060059,"[60.64820611180883, 59.78524284143256]","[63.19735449641908, 62.13378757572474]","[254.91483846102483, 234.85447342921725]",False,True
0.01,0.05,0.29042792320251465,"[63.22401648695101, 62.20801057011969]","[65.79982686209318, 64.63077829880682]","[257.58103751421754, 242.2767728687127]",False,True
0.01,0.060000000000000005,0.3433339595794678,"[65.81278377246748, 64.62893612726259]","[68.40155105798397, 67.0498616844055]","[258.8767285516479, 242.09255571429048]",False,True
0.01,0.07,0.3949770927429199,"[68.3877152982541, 67.10719457506282]","[70.96264682404072, 69.58545302286305]","[257.4931525786617, 247.82584478002292]",False,True
0.01,0.08,0.4471628665924072,"[70.95777819559858, 69.56352485491999]","[73.52784109294305, 72.01985513477716]","[257.0062897344478, 245.63302798571698]",False,True
0.01,0.09,0.49941492080688477,"[73.49666836772073, 72.0804507144048]","[76.03555853984287, 74.59737657388963]","[253.88901721221444, 251.69258594848216]",False,True
0.01,0.09999999999999999,0.5513620376586914,"[76.02682632490183, 74.56699479269994]","[78.55698428208294, 77.05353887099507]","[253.01579571811033, 248.65440782951325]",False,True
0.01,0.10999999999999999,0.6032218933105469,"[78.51407565515625, 77.12093130258097]","[81.00132498541066, 79.674867812462]","[248.72493302544143, 255.39365098810265]",False,True
0.01,0.11999999999999998,0.6553411483764648,"[80.99403582697099, 79.63951942459028]","[83.47399599878571, 82.15810754659958]","[247.99601718147315, 251.85881220093052]",False,True
0.01,0.12999999999999998,0.7083530426025391,"[83.42059479596921, 82.23127281071153]","[85.84715376496744, 84.82302619683279]","[242.65589689982292, 259.1753386121255]",False,True
0.01,0.13999999999999999,0.7610158920288086,"[85.84449672489428, 84.78412077718627]","[88.26839865381936, 87.33696874366102]","[242.39019289250763, 255.28479664747437]",False,True
0.01,0.15,0.8132059574127197,"[88.20485293687912, 87.41349187656226]","[90.56520914886396, 90.04286297593825]","[236.03562119848362, 262.93710993759873]",False,True
0.01,0.16,0.8650927543640137,"[90.56985160219621, 90.00127144817395]","[92.9348502675133, 92.58905101978564]","[236.49986653170885, 258.77795716116907]",False,True
0.01,0.17,0.9170560836791992,"[92.86154105875289, 92.6660271395237]","[95.15323051530959, 95.33078283087346]","[229.16894565566892, 266.4755691349754]",False,True
0.01,0.18000000000000002,0.9688980579376221,"[95.16764015671711, 95.28720893679916]","[97.47373925468132, 97.9083907340746]","[230.60990979642142, 262.11817972754477]",False,True
0.01,0.19000000000000003,1.021069049835205,"[97.39132349682114, 97.98276561936616]","[99.61500683692518, 100.67832230193316]","[222.36833401040315, 269.5556682567002]",False,True
0.01,0.20000000000000004,1.0732290744781494,"[99.64144788876447, 100.63337309554308]","[101.89157228070779, 103.28398057172]","[225.01243919433236, 265.06074761769156]",False,True
0.01,0.21000000000000005,1.1260480880737305,"[101.80101511767894, 103.35276605553422]","[103.96058234659341, 106.07215901552536]","[215.95672289144687, 271.939295999114]",False,True
0.01,0.22000000000000006,1.1779398918151855,"[104.00103390516954, 106.02633817897889]","[106.20105269266013, 108.69991030242355]","[220.0018787490592, 267.35721234446646]",False,True
0.01,0.23000000000000007,1.2302117347717285,"[106.10357475666405, 108.76037928998367]","[108.20611560815857, 111.49442040098846]","[210.2540851494517, 273.40411110047853]",False,True
0.01,0.24000000000000007,1.2833209037780762,"[108.26217980596167, 111.44810293091659]","[110.4207848552593, 114.13582657184952]","[215.8605049297627, 268.77236409329225]",False,True
0.01,0.25000000000000006,1.334867000579834,"[110.31776486685573, 114.18570461605123]","[112.37334992774979, 116.92330630118586]","[205.55850608940602, 273.7601685134635]",False,True
0.01,0.26000000000000006,1.3872578144073486,"[112.44617095635239, 116.87671092346307]","[114.57457704584905, 119.56771723087489]","[212.84060894966643, 269.1006307411833]",False,True
0.01,0.2700000000000001,1.4396789073944092,"[114.46743130244771, 119.6053631191946]","[116.48869164854302, 122.33401531492613]","[202.12603460953176, 272.86521957315347]",False,True
0.01,0.2800000000000001,1.4918677806854248,"[116.57889416593457, 122.28718055479214]","[118.69035702942143, 124.96899799038967]","[211.14628634868637, 268.18174355975304]",False,True
0.01,0.2900000000000001,1.544140100479126,"[118.5804140869778, 124.99355887510012]","[120.58193400802102, 127.6999371954081]","[200.15199210432257, 270.63783203079765]",False,True
