delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.000553131103515625,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -5.0]",False,UP,True
0.01,0.01,0.05218625068664551,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -0.0]",False,,True
0.01,0.02,0.10381007194519043,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -0.0]",False,,True
0.01,0.03,0.1549980640411377,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -0.0]",False,,True
0.01,0.04,0.21146821975708008,"[50.05, 49.95]","[50.05, 49.95]","[5.0, -0.0]",False,RIGHT,True
0.01,0.05,0.26812314987182617,"[50.15, 50.0]","[50.15, 50.0]","[10.0, 5.0]",False,DOWN,True
0.01,0.060000000000000005,0.31975603103637695,"[50.3, 50.1]","[50.3, 50.1]","[15.0, 10.0]",False,DOWN,True
0.01,0.07,0.3710031509399414,"[50.5, 50.25]","[50.5, 50.25]","[20.0, 15.0]",False,DOWN,True
0.01,0.08,0.42220020294189453,"[50.75, 50.45]","[50.75, 50.45]","[25.0, 20.0]",False,DOWN,True
0.01,0.09,0.47458791732788086,"[51.05, 50.7]","[51.05, 50.7]","[30.0, 25.0]",False,DOWN,True
0.01,0.09999999999999999,0.5257449150085449,"[51.4, 51.0]","[51.4, 51.0]","[35.0, 30.0]",False,DOWN,True
0.01,0.10999999999999999,0.5771610736846924,"[51.8, 51.35]","[51.8, 51.35]","[40.0, 35.0]",False,DOWN,True
0.01,0.11999999999999998,0.629932165145874,"[52.25, 51.75]","[52.25, 51.75]","[45.0, 40.0]",False,DOWN,True
0.01,0.12999999999999998,0.6819741725921631,"[52.75, 52.2]","[52.75, 52.2]","[50.0, 45.0]",False,DOWN,True
0.01,0.13999999999999999,0.7339572906494141,"[53.3, 52.7]","[53.3, 52.7]","[55.0, 50.0]",False,DOWN,True
0.01,0.15,0.7894279956817627,"[53.9, 53.25]","[53.9, 53.25]","[60.0, 55.0]",False,DOWN,True
0.01,0.16,0.8450520038604736,"[54.55, 53.85]","[54.55, 53.85]","[65.0, 60.0]",False,DOWN,True
