delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.0,0.0014181137084960938,"[50.621686168146006, 50.30087786366858]","[53.108431541144625, 51.50439033744707]","[62.168616814600824, 30.087786366858445]",False,True
0.01,0.01,0.05407357215881348,"[51.73427844346734, 50.84185547130206]","[56.184648276262735, 53.005766972503636]","[111.25922753213332, 54.09776076334798]",False,True
0.01,0.02,0.10591864585876465,"[53.241016022916284, 51.56825745278996]","[59.267967130591686, 54.47386654733246]","[150.67375794489476, 72.6401981487899]",False,True
0.01,0.03,0.15800023078918457,"[55.06376683607862, 52.450995962019476]","[62.35477096289121, 55.98195131175359]","[182.27508131623375, 88.27385092295174]",False,True
0.01,0.04,0.20995283126831055,"[57.140694562729315, 53.44494771137407]","[65.4484064549937, 57.42075621699338]","[207.69277266506947, 99.39517493545917]",False,True
0.01,0.05,0.26212167739868164,"[59.42124825827949, 54.540903933248785]","[68.54346416594032, 58.92473058165578]","[228.05536955501768, 109.59562218747159]",False,True
0.01,0.060000000000000005,0.31395769119262695,"[61.86608462286512, 55.69783258182995]","[71.64543137905744, 60.325549259318024]","[244.48363645856247, 115.69286485811638]",False,True
0.01,0.07,0.36600565910339355,"[64.442281101245, 56.92178285087138]","[74.74706851985202, 61.817586413869144]","[257.6196478379886, 122.39502690414334]",False,True
0.01,0.08,0.41795992851257324,"[67.12492456275639, 58.172485285962956]","[77.85550016320606, 63.17529802001543]","[268.26434615113965, 125.0702435091577]",False,True
0.01,0.09,0.47015833854675293,"[69.89232574339162, 59.46822369395798]","[80.96193251436603, 64.65118094903336]","[276.74011806352286, 129.57384079950245]",False,True
0.01,0.09999999999999999,0.521127462387085,"[72.72875575394384, 60.767534519830136]","[84.07447819405795, 65.96478223506102]","[283.6430010552221, 129.9310825872153]",False,True
0.01,0.10999999999999999,0.572974443435669,"[75.61967135062916, 62.098898698777035]","[87.18333654202554, 67.42436080476048]","[289.09155966853206, 133.13641789469014]",False,True
0.01,0.11999999999999998,0.6249606609344482,"[78.55507959170038, 63.41857255451523]","[90.29671583962522, 68.69727459730817]","[293.54082410712175, 131.9673855738196]",False,True
0.01,0.12999999999999998,0.6769862174987793,"[81.52500801583201, 64.763784142134]","[93.40472554581562, 70.1446386411255]","[296.9928424131638, 134.52115876187696]",False,True
0.01,0.13999999999999999,0.7288961410522461,"[84.52288553146045, 66.08797238298948]","[96.51440006756322, 71.38473542582616]","[299.7877515628433, 132.41882408554804]",False,True
0.01,0.15,0.7820148468017578,"[87.54174513612895, 67.43598845289621]","[99.61718874898837, 72.82806521952199]","[301.88596046685, 134.80160699067295]",False,True
0.01,0.16,0.834026575088501,"[90.5768218015641, 68.75826424051728]","[102.71713448104826, 74.04738293686599]","[303.5076665435143, 132.2275787621073]",False,True
0.01,0.17,0.8860476016998291,"[93.62328590644556, 70.10630273767586]","[105.80914924114796, 75.4984760969543]","[304.64641048814633, 134.80384971585798]",False,True
0.01,0.18000000000000002,0.9389686584472656,"[96.67697150809286, 71.42756813318783]","[108.89172182012477, 76.7126539734087]","[305.36856016473007, 132.12653955119785]",False,True
0.01,0.19000000000000003,0.9912636280059814,"[99.7348235207817, 72.77928105202591]","[111.96624049024595, 78.18616310824474]","[305.7852012688847, 135.1712918838077]",False,True
0.01,0.20000000000000004,1.0451359748840332,"[102.79228350613275, 74.10614357890088]","[115.02213339917556, 79.41363193017484]","[305.7459985351038, 132.68625268749807]",False,True
0.01,0.21000000000000005,1.0970237255096436,"[105.84809548303359, 75.47012079471115]","[118.07135424330536, 80.92607775250293]","[305.5811976900844, 136.39772158102645]",False,True
0.01,0.22000000000000006,1.1490504741668701,"[108.8964048623897, 76.8134985032211]","[121.08965393026168, 82.18707012479229]","[304.8309379356118, 134.33777085099425]",False,True
0.01,0.23000000000000007,1.2019550800323486,"[111.93809090419637, 78.20192698581027]","[124.10484680973434, 83.75571756305831]","[304.16860418066676, 138.84284825891805]",False,True
0.01,0.24000000000000007,1.255028247833252,"[114.96510836799085, 79.57575739539797]","[127.07318939978703, 85.0711761287518]","[302.70174637944837, 137.38304095876939]",False,True
0.01,0.25000000000000006,1.3083598613739014,"[117.98106278460787, 81.0031562366311]","[130.04488973585072, 86.71287407428169]","[301.5954416617017, 142.7398841233132]",False,True
0.01,0.26000000000000006,1.3619859218597412,"[120.97479341921962, 82.42316246669803]","[132.94972146219206, 88.1033424671701]","[299.37306346117543, 142.0006230066938]",False,True
0.01,0.2700000000000001,1.4149701595306396,"[123.95342446208468, 83.90517694152832]","[135.86794743827667, 89.83342988633053]","[297.86310428650563, 148.20144748302897]",False,True
0.01,0.2800000000000001,1.466928482055664,"[126.90171909512434, 85.38769436490527]","[138.6948854816353, 91.31800993155056]","[294.8294633039646, 148.25174233769516]",False,True
0.01,0.2900000000000001,1.5189967155456543,"[129.8312529515362, 86.93997053004581]","[141.54935946936484, 93.14938207414089]","[292.9533856411845, 155.22761651405358]",False,True
0.01,0.3000000000000001,1.5719780921936035,"[132.72174160346535, 88.50086617493425]","[144.28364223422696, 94.74483171697736]","[289.0488651929169, 156.08956448884345]",False,True
0.01,0.3100000000000001,1.6249470710754395,"[135.59021108843538, 90.13804692703097]","[147.06399975076005, 96.68724128549874]","[286.8469484970026, 163.7180752096725]",False,True
0.01,0.3200000000000001,1.6770470142364502,"[138.41039798521658, 91.79177635905288]","[149.69100673012804, 98.40727195690812]","[282.01868967811953, 165.37294320219033]",False,True
0.01,0.3300000000000001,1.7300522327423096,"[141.20575523183356, 93.52666472226979]","[152.3869802978725, 100.46691378137986]","[279.53572466169805, 173.4888363216913]",False,True
0.01,0.34000000000000014,1.7839772701263428,"[143.94322067698278, 95.28551086216156]","[154.89279281254494, 102.32172517147299]","[273.74654451492023, 175.88461398917704]",False,True
0.01,0.35000000000000014,1.8359589576721191,"[146.65352806504174, 97.12843975562454]","[157.4943634800335, 104.50112246676407]","[271.0307388058967, 184.29288934629886]",False,True
0.01,0.36000000000000015,1.8892672061920166,"[149.29619276197974, 99.00196770725637]","[159.8663300466244, 106.49718931945162]","[264.2664696938012, 187.35279516318303]",False,True
0.01,0.37000000000000016,1.941880702972412,"[151.9098559771565, 100.96040013375192]","[162.3638453052087, 108.79536872992458]","[261.36632151767657, 195.84324264955447]",False,True
0.01,0.38000000000000017,1.994027853012085,"[154.44627080770647, 102.95514395400599]","[164.59111040658894, 110.93547093622097]","[253.64148305499862, 199.47438202540692]",False,True
0.01,0.3900000000000002,2.0470314025878906,"[156.95228624829574, 105.03350630358237]","[166.97537289243428, 113.3483859551814]","[250.60154405892533, 207.83623495763828]",False,True
0.01,0.4000000000000002,2.100101947784424,"[159.37191878263675, 107.1528817462644]","[169.04932649142953, 115.6318525019131]","[241.96325343410135, 211.93754426820274]",False,True
0.01,0.4100000000000002,2.1529898643493652,"[161.76011684417358, 109.35261168609189]","[171.31166231552425, 118.1529935521266]","[238.81980615368383, 219.97299398274944]",False,True
0.01,0.4200000000000002,2.205984115600586,"[164.05361480137586, 111.59703128547082]","[173.22627023607492, 120.57611494471713]","[229.349795720229, 224.44195993789342]",False,True
0.01,0.4300000000000002,2.259002685546875,"[166.31488718483504, 113.91680902860317]","[175.3585884154753, 123.19723147959355]","[226.1272383459191, 231.97777431323425]",False,True
0.01,0.4400000000000002,2.3119659423828125,"[168.47430213115172, 116.28396858459641]","[177.1105710106187, 125.75378555889579]","[215.94149463166647, 236.71595559932388]",False,True
0.01,0.45000000000000023,2.364945411682129,"[170.6007987641329, 118.72009663959084]","[179.10542607357664, 128.4656418652439]","[212.64966329811693, 243.61280549944263]",False,True
0.01,0.46000000000000024,2.418018341064453,"[172.6197485459342, 121.20539801848543]","[180.69426423363066, 131.14747510164733]","[201.89497818012956, 248.5301378894595]",False,True
0.01,0.47000000000000025,2.471005916595459,"[174.6050235662075, 123.75228769594497]","[182.54493280822882, 133.94056674849014]","[198.52750202733284, 254.68896774595476]",False,True
0.01,0.48000000000000026,2.523078680038452,"[176.4787723118632, 126.34935079976879]","[183.97269557966632, 136.73817684645513]","[187.37487456556832, 259.70631038238105]",False,True
0.01,0.49000000000000027,2.576113224029541,"[178.3178637691949, 129.00006037614102]","[185.6732751064967, 139.60334747586853]","[183.90914573317062, 265.0709576372245]",False,True
0.01,0.5000000000000002,2.6289665699005127,"[180.0433128605015, 131.7012651154575]","[186.94428071616684, 142.50642226155367]","[172.54490913065914, 270.1204739316464]",False,True
0.01,0.5100000000000002,2.682182788848877,"[181.73275646858994, 134.4480297553904]","[188.48981505884734, 145.43533826830898]","[168.94436080884603, 274.6764639932902]",False,True
0.01,0.5200000000000002,2.7349536418914795,"[183.30835739940062, 137.24503212452885]","[189.6101552999135, 148.43321852678497]","[157.560093081067, 279.7002369138441]",False,True
0.01,0.5300000000000002,2.788965940475464,"[184.84614615692567, 140.07973731197242]","[190.9967886734648, 151.4186793474286]","[153.77887575250483, 283.4705187443564]",False,True
0.01,0.5400000000000003,2.842015027999878,"[186.27175493623753, 142.96391979771016]","[191.97376332871843, 154.50072749624923]","[142.56087793118658, 288.4182485737743]",False,True
0.01,0.5500000000000003,2.894909143447876,"[187.65725937259086, 145.87848847865155]","[193.19892098182402, 157.53680901892628]","[138.55044363533432, 291.4568680941386]",False,True
0.01,0.5600000000000003,2.948009967803955,"[188.93395463435218, 148.84132220685655]","[194.0404418862117, 160.69267927817828]","[127.66952617613045, 296.2833728204999]",False,True
0.01,0.5700000000000003,3.001039743423462,"[190.16781903216847, 151.828001647342]","[195.10303330763406, 163.7747249134126]","[123.38643978162824, 298.6679440485453]",False,True
0.01,0.5800000000000003,3.0542290210723877,"[191.29770812504216, 154.86131097090754]","[195.81706456433292, 166.99454224927018]","[112.98890928736873, 303.3309323565527]",False,True
