delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.00017690658569335938,"[50.0, 50.05]","[50.0, 50.05]","[0.0, 5.0]",False,DOWN,True
0.01,0.01,0.050961971282958984,"[50.0, 50.05]","[50.0, 50.05]","[0.0, 0.0]",False,,True
0.01,0.02,0.10269331932067871,"[50.0, 50.05]","[50.0, 50.05]","[0.0, 0.0]",False,,True
0.01,0.03,0.1548459529876709,"[50.0, 50.05]","[50.0, 50.05]","[0.0, 0.0]",False,,True
0.01,0.04,0.2067101001739502,"[50.0, 50.05]","[50.0, 50.05]","[0.0, 0.0]",False,,True
0.01,0.05,0.25970911979675293,"[50.0, 50.099999999999994]","[50.0, 50.099999999999994]","[0.0, 5.0]",False,DOWN,True
0.01,0.060000000000000005,0.31284403800964355,"[50.05, 50.199999999999996]","[50.05, 50.199999999999996]","[5.0, 10.0]",False,DOWN,True
0.01,0.07,0.36490297317504883,"[50.15, 50.349999999999994]","[50.15, 50.349999999999994]","[10.0, 15.0]",False,DOWN,True
0.01,0.08,0.4156322479248047,"[50.3, 50.55]","[50.3, 50.55]","[15.0, 20.0]",False,DOWN,True
0.01,0.09,0.46674633026123047,"[50.5, 50.8]","[50.5, 50.8]","[20.0, 25.0]",False,DOWN,True
0.01,0.09999999999999999,0.5191202163696289,"[50.75, 51.099999999999994]","[50.75, 51.099999999999994]","[25.0, 30.0]",False,DOWN,True
0.01,0.10999999999999999,0.5719401836395264,"[51.05, 51.449999999999996]","[51.05, 51.449999999999996]","[30.0, 35.0]",False,DOWN,True
0.01,0.11999999999999998,0.6235909461975098,"[51.4, 51.849999999999994]","[51.4, 51.849999999999994]","[35.0, 40.0]",False,DOWN,True
0.01,0.12999999999999998,0.6751701831817627,"[51.8, 52.3]","[51.8, 52.3]","[40.0, 45.0]",False,DOWN,True
0.01,0.13999999999999999,0.7271392345428467,"[52.25, 52.8]","[52.25, 52.8]","[45.0, 50.0]",False,DOWN,True
0.01,0.15,0.7796511650085449,"[52.75, 53.349999999999994]","[52.75, 53.349999999999994]","[50.0, 55.0]",False,DOWN,True
0.01,0.16,0.8332831859588623,"[53.3, 53.949999999999996]","[53.3, 53.949999999999996]","[55.0, 60.0]",False,DOWN,True
