timestamp,particle_position,user_goal,velocity,collision
0.3278646469116211,"[49.999999766102356, 49.99999958616433]","[50, 50]","[-4.677952846678548e-06, -8.276713465004178e-06]",False
0.38553285598754883,"[58.76410472610173, 50.06492948183564]","[60, 60]","[175.28209919998744, 1.2985979134262924]",False
0.4424717426300049,"[56.32176599948796, 56.66514417140882]","[60, 60]","[-48.84677453227537, 132.0042937914636]",False
0.49703383445739746,"[64.414894759206, 56.72733239842017]","[60, 60]","[161.8625751943609, 1.2437645402270143]",False
0.554262638092041,"[61.62779930990637, 62.952656321890814]","[70, 70]","[-55.74190898599275, 124.50647846941297]",False
0.6106019020080566,"[69.70077235907095, 62.62629389190963]","[70, 70]","[161.4594609832916, -6.527248599623607]",False
0.6658675670623779,"[66.58254584089099, 68.50368869993017]","[70, 70]","[-62.36453036359946, 117.54789616041056]",False
0.7214047908782959,"[74.36376899613572, 68.01775713302588]","[70, 70]","[155.62446310489452, -9.718631338085752]",False
0.7769479751586914,"[70.9564725514334, 73.57023479889415]","[70, 80]","[-68.14592889404662, 111.04955331736531]",False
0.8339908123016357,"[68.02410317066088, 78.97914630062209]","[70, 80]","[-58.647387615450164, 108.17823003455891]",False
0.8891997337341309,"[74.34926503615462, 78.55295483933624]","[70, 80]","[126.50323730987488, -8.52382922571706]",False
0.9447038173675537,"[71.24351631943897, 83.69005861226395]","[70, 90]","[-62.11497433431296, 102.74207545855428]",False
1.0004746913909912,"[68.5701747267283, 88.69893700139477]","[70, 90]","[-53.466831854213396, 100.17756778261642]",False
1.0552728176116943,"[71.77967138848663, 89.66071029769763]","[70, 90]","[64.18993323516683, 19.23546592605738]",False
1.111283779144287,"[69.22897005310782, 94.43380498098243]","[70, 100]","[-51.0140267075764, 95.4618936656959]",False
1.1668987274169922,"[67.04201811940764, 99.08045005137973]","[70, 100]","[-43.73903867400338, 92.93290140794598]",False
1.2220497131347656,"[74.51991751882602, 95.82308360383188]","[70, 100]","[149.55798798836753, -65.14732895095698]",False
1.2772276401519775,"[71.90283723796907, 100.31340750373519]","[70, 110]","[-52.34160561713894, 89.80647799806631]",False
1.333399772644043,"[69.65123803065202, 104.70040826522728]","[70, 110]","[-45.031984146340974, 87.7400152298419]",False
1.3889479637145996,"[67.72334325695434, 108.97664948648041]","[70, 110]","[-38.55789547395362, 85.52482442506258]",False
1.4462416172027588,"[72.4466486925651, 107.08796166587678]","[70, 110]","[94.46610871221523, -37.77375641207274]",False
1.5032827854156494,"[70.34871184649623, 111.23427867658903]","[70, 120]","[-41.9587369213776, 82.92634021424514]",False
1.5605659484863281,"[68.55347029258284, 115.28181597524626]","[70, 120]","[-35.90483107826775, 80.95074597314456]",False
1.6191349029541016,"[67.02732092466415, 119.22701958620337]","[70, 120]","[-30.522987358373953, 78.90407221914204]",False
