delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.06280112266540527,"[50.00000000000002, 50.00000000000003]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.01,0.1216280460357666,"[50.000000000000036, 50.00000000000006]","[50.00000000000002, 50.00000000000003]","[0.0, 0.0]",False,,True
0.01,0.02,0.18055009841918945,"[50.00000000000006, 50.00000000000008]","[50.000000000000036, 50.00000000000006]","[0.0, 0.0]",False,,True
0.01,0.03,0.24048590660095215,"[50.00000000000008, 50.00000000000011]","[50.00000000000006, 50.00000000000008]","[0.0, 0.0]",False,,True
0.01,0.04,0.29883718490600586,"[50.00000000000009, 50.00000000000013]","[50.00000000000008, 50.00000000000011]","[0.0, 0.0]",False,,True
0.01,0.05,0.3568999767303467,"[50.00000000000011, 50.000000000000156]","[50.00000000000009, 50.00000000000013]","[0.0, 0.0]",False,,True
0.01,0.060000000000000005,0.41413402557373047,"[50.00000000000012, 50.00000000000018]","[50.00000000000011, 50.000000000000156]","[0.0, 0.0]",False,,True
0.01,0.07,0.5000391006469727,"[50.05000000000014, 50.000000000000206]","[50.05000000000012, 50.00000000000018]","[5.0, 0.0]",False,RIGHT,True
0.01,0.08,0.558786153793335,"[50.150000000000155, 50.050000000000225]","[50.15000000000014, 50.0500000000002]","[10.0, 5.0]",False,DOWN,True
0.01,0.09,0.6160640716552734,"[50.300000000000175, 50.150000000000254]","[50.30000000000015, 50.150000000000226]","[15.0, 10.0]",False,DOWN,True
0.01,0.09999999999999999,0.6737890243530273,"[50.50000000000019, 50.300000000000274]","[50.50000000000018, 50.30000000000025]","[20.0, 15.0]",False,DOWN,True
0.01,0.10999999999999999,0.7318291664123535,"[50.750000000000206, 50.500000000000306]","[50.75000000000019, 50.50000000000028]","[25.0, 20.0]",False,DOWN,True
0.01,0.11999999999999998,0.7889401912689209,"[51.050000000000225, 50.750000000000334]","[51.0500000000002, 50.750000000000306]","[30.0, 25.0]",False,DOWN,True
0.01,0.12999999999999998,0.8478212356567383,"[51.40000000000025, 51.05000000000036]","[51.400000000000226, 51.05000000000033]","[35.0, 30.0]",False,DOWN,True
0.01,0.13999999999999999,0.9057230949401855,"[51.80000000000026, 51.40000000000039]","[51.800000000000246, 51.40000000000036]","[40.0, 35.0]",False,DOWN,True
0.01,0.15,0.9639739990234375,"[52.250000000000284, 51.80000000000041]","[52.25000000000026, 51.80000000000039]","[45.0, 40.0]",False,DOWN,True
0.01,0.16,1.0228371620178223,"[52.750000000000306, 52.25000000000043]","[52.750000000000284, 52.25000000000041]","[50.0, 45.0]",False,DOWN,True
0.01,0.17,1.080333948135376,"[53.300000000000324, 52.75000000000046]","[53.3000000000003, 52.75000000000043]","[55.0, 50.0]",False,DOWN,True
0.01,0.18000000000000002,1.1396260261535645,"[53.90000000000035, 53.30000000000048]","[53.900000000000325, 53.30000000000046]","[60.0, 55.0]",False,DOWN,True
0.01,0.19000000000000003,1.1985418796539307,"[54.55000000000037, 53.90000000000051]","[54.550000000000345, 53.90000000000048]","[65.0, 60.0]",False,DOWN,True
0.01,0.20000000000000004,1.2572801113128662,"[55.25000000000039, 54.55000000000053]","[55.25000000000037, 54.55000000000051]","[70.0, 65.0]",False,DOWN,True
0.01,0.21000000000000005,1.3153150081634521,"[56.00000000000041, 55.25000000000056]","[56.00000000000039, 55.25000000000053]","[75.0, 70.0]",False,DOWN,True
0.01,0.22000000000000006,1.3743209838867188,"[56.80000000000043, 56.00000000000059]","[56.80000000000041, 56.00000000000056]","[80.0, 75.0]",False,DOWN,True
0.01,0.23000000000000007,1.4332549571990967,"[57.65000000000045, 56.80000000000061]","[57.65000000000043, 56.80000000000059]","[85.0, 80.0]",False,DOWN,True
0.01,0.24000000000000007,1.4915339946746826,"[58.550000000000466, 57.65000000000063]","[58.55000000000045, 57.65000000000061]","[90.0, 85.0]",False,DOWN,True
0.01,0.25000000000000006,1.549989938735962,"[59.50000000000048, 58.55000000000066]","[59.50000000000047, 58.55000000000063]","[95.0, 90.0]",False,DOWN,True
0.01,0.26000000000000006,1.6089200973510742,"[60.500000000000504, 59.50000000000069]","[60.50000000000048, 59.50000000000066]","[100.0, 95.0]",False,DOWN,True
0.01,0.2700000000000001,1.667140007019043,"[61.55000000000052, 60.50000000000071]","[61.5500000000005, 60.50000000000069]","[105.0, 100.0]",False,DOWN,True
0.01,0.2800000000000001,1.7301971912384033,"[62.650000000000546, 61.55000000000073]","[62.650000000000524, 61.55000000000071]","[110.0, 105.0]",False,DOWN,True
0.01,0.2900000000000001,1.7886500358581543,"[63.800000000000566, 62.65000000000075]","[63.800000000000544, 62.65000000000073]","[115.0, 110.0]",False,DOWN,True
0.01,0.3000000000000001,1.846682071685791,"[65.00000000000058, 63.80000000000077]","[65.00000000000057, 63.80000000000075]","[120.0, 115.0]",False,DOWN,True
0.01,0.3100000000000001,1.9050180912017822,"[66.2500000000006, 65.0000000000008]","[66.25000000000058, 65.00000000000077]","[125.0, 120.0]",False,DOWN,True
0.01,0.3200000000000001,1.9640898704528809,"[67.55000000000061, 66.25000000000082]","[67.5500000000006, 66.2500000000008]","[130.0, 125.0]",False,DOWN,True
0.01,0.3300000000000001,2.025753974914551,"[68.90000000000063, 67.55000000000085]","[68.9000000000006, 67.55000000000082]","[135.0, 130.0]",False,DOWN,True
0.01,0.34000000000000014,2.0836050510406494,"[70.30000000000065, 68.90000000000087]","[70.30000000000064, 68.90000000000084]","[140.0, 135.0]",False,DOWN,True
