delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.0,0.05785226821899414,"[51.387347983689665, 51.26553629319816]","[52.77469596874192, 52.531072587572694]","[138.73479836896627, 126.55362931981632]",False,True
0.01,0.01,0.11534905433654785,"[53.36849070087791, 53.08416779425567]","[55.349633418066205, 54.902799295313216]","[198.11427171882488, 181.86315010575095]",False,True
0.01,0.02,0.17292428016662598,"[55.666941024828276, 55.18434901129646]","[57.96539134877838, 57.28453022833708]","[229.8450323950365, 210.01812170407948]",False,True
0.01,0.03,0.23121213912963867,"[58.12392019237102, 57.4605212740286]","[60.58089935991533, 59.73669353676221]","[245.69791675427433, 227.61722627321376]",False,True
0.01,0.04,0.2884941101074219,"[60.663246302528464, 59.79909168861806]","[63.20257241268313, 62.137662103204995]","[253.93261101574447, 233.85704145894584]",False,True
0.01,0.05,0.34682226181030273,"[63.23191488095539, 62.217259370900535]","[65.80058345938788, 64.63542705318821]","[256.86685784269196, 241.81676822824747]",False,True
0.01,0.060000000000000005,0.40492820739746094,"[65.81646071493654, 64.63272184157756]","[68.40100654892541, 67.04818431226178]","[258.45458339811523, 241.546247067703]",False,True
0.01,0.07,0.46335530281066895,"[68.38813778384817, 67.11056579790362]","[70.95981485275979, 69.58840975422974]","[257.16770689116197, 247.7843956326056]",False,True
0.01,0.08,0.5222442150115967,"[70.95689627022414, 69.56344448451071]","[73.52565475660487, 72.01632317112234]","[256.87584863759736, 245.28786866070877]",False,True
0.01,0.09,0.5814170837402344,"[73.49405791289307, 72.08194869965874]","[76.03121955556813, 74.6004529148131]","[253.71616426689286, 251.85042151480255]",False,True
0.01,0.09999999999999999,0.6412580013275146,"[76.02425142470734, 74.5655895428973]","[78.55444493651927, 77.04923038613354]","[253.01935118142805, 248.36408432385582]",False,True
0.01,0.10999999999999999,0.7016472816467285,"[78.51014684274355, 77.12201620007801]","[80.99604226077844, 79.67844285725712]","[248.58954180362102, 255.64266571807065]",False,True
0.01,0.11999999999999998,0.7619421482086182,"[80.99087590103292, 79.63768994162098]","[83.47160495932181, 82.15336368316336]","[248.07290582893697, 251.5673741542969]",False,True
0.01,0.12999999999999998,0.8217332363128662,"[83.41597452665475, 82.23237170744422]","[85.84107315227595, 84.82705347326673]","[242.5098625621834, 259.4681765823233]",False,True
0.01,0.13999999999999999,0.881547212600708,"[85.84120827137484, 84.7821484921906]","[88.26644201609594, 87.33192527693811]","[242.52337447200821, 254.97767847463825]",False,True
0.01,0.15,0.9414021968841553,"[88.19979174709742, 87.41465441225647]","[90.55837522282093, 90.0471603323234]","[235.85834757225825, 263.25059200658603]",False,True
0.01,0.16,1.0029959678649902,"[90.5666726601087, 89.99922061728898]","[92.93355357311924, 92.58378682232058]","[236.6880913011271, 258.4566205032511]",False,True
0.01,0.17,1.063948154449463,"[92.856175570262, 92.66717085855902]","[95.14567848041456, 95.33512109982819]","[228.95029101533015, 266.7950241270034]",False,True
0.01,0.18000000000000002,1.124993085861206,"[95.16473978882732, 95.28506930731075]","[97.47330400739277, 97.90296775606268]","[230.8564218565329, 261.789844875173]",False,True
0.01,0.19000000000000003,1.1850931644439697,"[97.38576418334019, 97.9837640851691]","[99.60678857785354, 100.68245886302812]","[222.10243945128698, 269.86947778583567]",False,True
0.01,0.20000000000000004,1.2436401844024658,"[99.63897178352762, 100.63110859476146]","[101.89217938371516, 103.27845310435394]","[225.32076001874373, 264.7344509592362]",False,True
0.01,0.21000000000000005,1.3038511276245117,"[101.79537154696345, 103.353482916831]","[103.9517713103991, 106.07585723890031]","[215.63997634358222, 272.2374322069548]",False,True
0.01,0.22000000000000006,1.3640162944793701,"[103.99911434744465, 106.02390422500429]","[106.20285714792571, 108.69432553317746]","[220.37428004811895, 267.042130817329]",False,True
0.01,0.23000000000000007,1.425347089767456,"[106.0979588856156, 108.76068508748848]","[108.19680342378665, 111.49746594997275]","[209.8844538170956, 273.678086248419]",False,True
0.01,0.24000000000000007,1.485518217086792,"[108.26093389066706, 111.44545389557963]","[110.4239088957187, 114.13022270367092]","[216.29750050514593, 268.4768808091143]",False,True
0.01,0.25000000000000006,1.5457773208618164,"[110.31228646275963, 114.18548824278139]","[112.36363903485213, 116.92552258998322]","[205.13525720925617, 274.003434720175]",False,True
0.01,0.26000000000000006,1.6051011085510254,"[112.44569523172655, 116.87380463869735]","[114.5791040006934, 119.56212103461323]","[213.34087689669107, 268.8316395915964]",False,True
0.01,0.2700000000000001,1.6664199829101562,"[114.46219062447831, 119.60454123690332]","[116.47868601723005, 122.33527783510932]","[201.64953927517584, 273.0736598205962]",False,True
0.01,0.2800000000000001,1.727060079574585,"[116.57925871208184, 122.28398184952647]","[118.6963267996854, 124.96342246214967]","[211.70680876035303, 267.94406126231513]",False,True
