delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.00013685226440429688,"[49.95, 49.95]","[49.95, 49.95]","[-5.0, -5.0]",False,UP,True
0.01,0.01,0.05108308792114258,"[49.85, 49.85]","[49.85, 49.85]","[-10.0, -10.0]",False,UP,True
0.01,0.02,0.10315799713134766,"[49.7, 49.7]","[49.7, 49.7]","[-15.0, -15.0]",False,UP,True
0.01,0.03,0.15560698509216309,"[49.5, 49.5]","[49.5, 49.5]","[-20.0, -20.0]",False,UP,True
0.01,0.04,0.20789790153503418,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.05,0.2595977783203125,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.060000000000000005,0.31177592277526855,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.07,0.363415002822876,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.08,0.41559386253356934,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.09,0.46802783012390137,"[49.5, 49.5]","[49.5, 49.5]","[-0.0, -0.0]",False,,True
0.01,0.09999999999999999,0.5216870307922363,"[49.55, 49.5]","[49.55, 49.5]","[5.0, -0.0]",False,RIGHT,True
0.01,0.10999999999999999,0.572545051574707,"[49.65, 49.5]","[49.65, 49.5]","[10.0, -0.0]",False,RIGHT,True
0.01,0.11999999999999998,0.6234979629516602,"[49.8, 49.5]","[49.8, 49.5]","[15.0, -0.0]",False,RIGHT,True
0.01,0.12999999999999998,0.6745829582214355,"[50.0, 49.5]","[50.0, 49.5]","[20.0, -0.0]",False,RIGHT,True
0.01,0.13999999999999999,0.725970983505249,"[50.25, 49.5]","[50.25, 49.5]","[25.0, -0.0]",False,RIGHT,True
0.01,0.15,0.7791328430175781,"[50.55, 49.55]","[50.55, 49.55]","[30.0, 5.0]",False,DOWN,True
0.01,0.16,0.82948899269104,"[50.9, 49.65]","[50.9, 49.65]","[35.0, 10.0]",False,DOWN,True
