delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.0004999637603759766,"[50.05, 50.0]","[50.05, 50.0]","[5.0, 0.0]",False,RIGHT,True
0.01,0.01,0.05182600021362305,"[50.15, 50.0]","[50.15, 50.0]","[10.0, 0.0]",False,RIGHT,True
0.01,0.02,0.10307908058166504,"[50.3, 50.0]","[50.3, 50.0]","[15.0, 0.0]",False,RIGHT,True
0.01,0.03,0.1549980640411377,"[50.5, 50.0]","[50.5, 50.0]","[20.0, 0.0]",False,RIGHT,True
0.01,0.04,0.20695924758911133,"[50.75, 50.0]","[50.75, 50.0]","[25.0, 0.0]",False,RIGHT,True
0.01,0.05,0.25797295570373535,"[51.05, 50.0]","[51.05, 50.0]","[30.0, 0.0]",False,RIGHT,True
0.01,0.060000000000000005,0.30923008918762207,"[51.05, 50.0]","[51.05, 50.0]","[0.0, 0.0]",False,,True
0.01,0.07,0.36132311820983887,"[51.05, 50.0]","[51.05, 50.0]","[0.0, 0.0]",False,,True
0.01,0.08,0.4138350486755371,"[51.05, 50.0]","[51.05, 50.0]","[0.0, 0.0]",False,,True
0.01,0.09,0.46586012840270996,"[51.05, 50.0]","[51.05, 50.0]","[0.0, 0.0]",False,,True
0.01,0.09999999999999999,0.51987624168396,"[51.05, 50.05]","[51.05, 50.05]","[0.0, 5.0]",False,DOWN,True
0.01,0.10999999999999999,0.5718569755554199,"[51.05, 50.15]","[51.05, 50.15]","[0.0, 10.0]",False,DOWN,True
0.01,0.11999999999999998,0.6251180171966553,"[51.05, 50.3]","[51.05, 50.3]","[0.0, 15.0]",False,DOWN,True
0.01,0.12999999999999998,0.677016019821167,"[51.05, 50.5]","[51.05, 50.5]","[0.0, 20.0]",False,DOWN,True
0.01,0.13999999999999999,0.7275972366333008,"[51.05, 50.75]","[51.05, 50.75]","[0.0, 25.0]",False,DOWN,True
0.01,0.15,0.7781190872192383,"[51.05, 51.05]","[51.05, 51.05]","[0.0, 30.0]",False,DOWN,True
0.01,0.16,0.8300659656524658,"[51.05, 51.4]","[51.05, 51.4]","[0.0, 35.0]",False,DOWN,True
0.01,0.17,0.8828160762786865,"[51.05, 51.8]","[51.05, 51.8]","[0.0, 40.0]",False,DOWN,True
0.01,0.18000000000000002,0.9339630603790283,"[51.05, 52.25]","[51.05, 52.25]","[0.0, 45.0]",False,DOWN,True
0.01,0.19000000000000003,0.9847738742828369,"[51.05, 52.75]","[51.05, 52.75]","[0.0, 50.0]",False,DOWN,True
0.01,0.20000000000000004,1.0390470027923584,"[51.05, 53.3]","[51.05, 53.3]","[0.0, 55.0]",False,DOWN,True
0.01,0.21000000000000005,1.092987060546875,"[51.05, 53.9]","[51.05, 53.9]","[0.0, 60.0]",False,DOWN,True
0.01,0.22000000000000006,1.1441240310668945,"[51.05, 54.55]","[51.05, 54.55]","[0.0, 65.0]",False,DOWN,True
0.01,0.23000000000000007,1.198627233505249,"[51.05, 55.25]","[51.05, 55.25]","[0.0, 70.0]",False,DOWN,True
0.01,0.24000000000000007,1.2519340515136719,"[51.05, 56.0]","[51.05, 56.0]","[0.0, 75.0]",False,DOWN,True
0.01,0.25000000000000006,1.3038358688354492,"[51.05, 56.8]","[51.05, 56.8]","[0.0, 80.0]",False,DOWN,True
0.01,0.26000000000000006,1.355808973312378,"[51.05, 57.65]","[51.05, 57.65]","[0.0, 85.0]",False,DOWN,True
0.01,0.2700000000000001,1.406914234161377,"[51.05, 58.55]","[51.05, 58.55]","[0.0, 90.0]",False,DOWN,True
0.01,0.2800000000000001,1.4604880809783936,"[51.05, 59.5]","[51.05, 59.5]","[0.0, 95.0]",False,DOWN,True
0.01,0.2900000000000001,1.5133271217346191,"[51.05, 60.5]","[51.05, 60.5]","[0.0, 100.0]",False,DOWN,True
0.01,0.3000000000000001,1.5646510124206543,"[51.05, 61.55]","[51.05, 61.55]","[0.0, 105.0]",False,DOWN,True
