delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.0002028942108154297,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -5.0]",False,UP,True
0.01,0.01,0.05275392532348633,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -10.0]",False,UP,True
0.01,0.02,0.10475993156433105,"[50.0, 49.7]","[50.0, 49.7]","[0.0, -15.0]",False,UP,True
0.01,0.03,0.15580105781555176,"[50.0, 49.5]","[50.0, 49.5]","[0.0, -20.0]",False,UP,True
0.01,0.04,0.2080378532409668,"[50.0, 49.25]","[50.0, 49.25]","[0.0, -25.0]",False,UP,True
0.01,0.05,0.2601630687713623,"[50.0, 48.95]","[50.0, 48.95]","[0.0, -30.0]",False,UP,True
0.01,0.060000000000000005,0.31432390213012695,"[50.0, 48.650000000000006]","[50.0, 48.650000000000006]","[0.0, -30.0]",False,DOWN,True
0.01,0.07,0.36629796028137207,"[50.0, 48.400000000000006]","[50.0, 48.400000000000006]","[0.0, -25.0]",False,DOWN,True
0.01,0.08,0.41831398010253906,"[50.0, 48.2]","[50.0, 48.2]","[0.0, -20.0]",False,DOWN,True
0.01,0.09,0.4701809883117676,"[50.0, 48.050000000000004]","[50.0, 48.050000000000004]","[0.0, -15.0]",False,DOWN,True
0.01,0.09999999999999999,0.5218229293823242,"[50.0, 47.95]","[50.0, 47.95]","[0.0, -10.0]",False,DOWN,True
0.01,0.10999999999999999,0.5729551315307617,"[50.0, 47.900000000000006]","[50.0, 47.900000000000006]","[0.0, -5.0]",False,DOWN,True
0.01,0.11999999999999998,0.6237549781799316,"[50.0, 47.900000000000006]","[50.0, 47.900000000000006]","[0.0, 0.0]",False,DOWN,True
0.01,0.12999999999999998,0.6749348640441895,"[50.0, 47.95]","[50.0, 47.95]","[0.0, 5.0]",False,DOWN,True
0.01,0.13999999999999999,0.7267959117889404,"[50.0, 48.050000000000004]","[50.0, 48.050000000000004]","[0.0, 10.0]",False,DOWN,True
0.01,0.15,0.7783639430999756,"[50.0, 48.2]","[50.0, 48.2]","[0.0, 15.0]",False,DOWN,True
0.01,0.16,0.829658031463623,"[50.0, 48.400000000000006]","[50.0, 48.400000000000006]","[0.0, 20.0]",False,DOWN,True
0.01,0.17,0.8824050426483154,"[50.0, 48.650000000000006]","[50.0, 48.650000000000006]","[0.0, 25.0]",False,DOWN,True
0.01,0.18000000000000002,0.9340908527374268,"[50.0, 48.95]","[50.0, 48.95]","[0.0, 30.0]",False,DOWN,True
0.01,0.19000000000000003,0.9865589141845703,"[50.0, 49.300000000000004]","[50.0, 49.300000000000004]","[0.0, 35.0]",False,DOWN,True
0.01,0.20000000000000004,1.0409679412841797,"[50.0, 49.7]","[50.0, 49.7]","[0.0, 40.0]",False,DOWN,True
0.01,0.21000000000000005,1.0923960208892822,"[50.0, 50.150000000000006]","[50.0, 50.150000000000006]","[0.0, 45.0]",False,DOWN,True
0.01,0.22000000000000006,1.146704912185669,"[50.0, 50.650000000000006]","[50.0, 50.650000000000006]","[0.0, 50.0]",False,DOWN,True
0.01,0.23000000000000007,1.1985950469970703,"[50.0, 51.2]","[50.0, 51.2]","[0.0, 55.0]",False,DOWN,True
0.01,0.24000000000000007,1.2499020099639893,"[50.0, 51.800000000000004]","[50.0, 51.800000000000004]","[0.0, 60.0]",False,DOWN,True
0.01,0.25000000000000006,1.3032608032226562,"[50.0, 52.45]","[50.0, 52.45]","[0.0, 65.0]",False,DOWN,True
0.01,0.26000000000000006,1.3556127548217773,"[50.0, 53.150000000000006]","[50.0, 53.150000000000006]","[0.0, 70.0]",False,DOWN,True
0.01,0.2700000000000001,1.4103479385375977,"[50.0, 53.900000000000006]","[50.0, 53.900000000000006]","[0.0, 75.0]",False,DOWN,True
0.01,0.2800000000000001,1.4666969776153564,"[50.0, 54.7]","[50.0, 54.7]","[0.0, 80.0]",False,DOWN,True
0.01,0.2900000000000001,1.5177037715911865,"[50.0, 55.550000000000004]","[50.0, 55.550000000000004]","[0.0, 85.0]",False,DOWN,True
0.01,0.3000000000000001,1.5711238384246826,"[50.05, 56.45]","[50.05, 56.45]","[5.0, 90.0]",False,DOWN,True
