delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.035284996032714844,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.01,0.08649325370788574,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.02,0.13763093948364258,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.03,0.1906900405883789,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.04,0.24114513397216797,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.05,0.29202818870544434,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.060000000000000005,0.3447580337524414,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.07,0.3961660861968994,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.08,0.4476809501647949,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.09,0.49997997283935547,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.09999999999999999,0.5513200759887695,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.10999999999999999,0.6043400764465332,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.11999999999999998,0.6571321487426758,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.12999999999999998,0.7089571952819824,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.13999999999999999,0.7597761154174805,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.15,0.8104071617126465,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.16,0.8627209663391113,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.17,0.914147138595581,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.18000000000000002,0.9652841091156006,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.19000000000000003,1.016690969467163,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.20000000000000004,1.0688800811767578,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.21000000000000005,1.1200110912322998,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.22000000000000006,1.1717722415924072,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.23000000000000007,1.2245099544525146,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.24000000000000007,1.276669979095459,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.25000000000000006,1.32778000831604,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.26000000000000006,1.3796679973602295,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.2700000000000001,1.4320900440216064,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.2800000000000001,1.4853789806365967,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.2900000000000001,1.5371372699737549,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.3000000000000001,1.5880680084228516,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.3100000000000001,1.6399061679840088,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.3200000000000001,1.6929662227630615,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.3300000000000001,1.7458319664001465,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.34000000000000014,1.7967751026153564,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.35000000000000014,1.8476579189300537,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.36000000000000015,1.8999030590057373,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.37000000000000016,1.9525601863861084,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.38000000000000017,2.004520893096924,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.3900000000000002,2.0562219619750977,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.4000000000000002,2.1086819171905518,"[50.0, 50.0]","[50.0, 50.0]","[0.0, 0.0]",False,,True
0.01,0.4100000000000002,2.1955790519714355,"[50.0, 49.95]","[50.0, 49.95]","[0.0, -5.0]",False,UP,True
0.01,0.4200000000000002,2.245896100997925,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -10.0]",False,UP,True
0.01,0.4300000000000002,2.297116279602051,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -0.0]",False,,True
0.01,0.4400000000000002,2.347771167755127,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -0.0]",False,,True
0.01,0.45000000000000023,2.398928165435791,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -0.0]",False,,True
0.01,0.46000000000000024,2.450632095336914,"[50.0, 49.85]","[50.0, 49.85]","[0.0, -0.0]",False,,True
