delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,key_pressed,success
0.01,0.0,0.005877971649169922,"[50.05000000000002, 50.00000000000003]","[50.05, 50.0]","[5.0, 0.0]",False,RIGHT,True
0.01,0.01,0.06292200088500977,"[50.150000000000034, 50.00000000000004]","[50.15000000000002, 50.00000000000003]","[10.0, 0.0]",False,RIGHT,True
0.01,0.02,0.1200418472290039,"[50.300000000000054, 50.00000000000006]","[50.30000000000003, 50.00000000000004]","[15.0, 0.0]",False,RIGHT,True
0.01,0.03,0.1781620979309082,"[50.50000000000008, 50.00000000000007]","[50.50000000000006, 50.00000000000006]","[20.0, 0.0]",False,RIGHT,True
0.01,0.04,0.23462295532226562,"[50.75000000000011, 50.00000000000009]","[50.75000000000008, 50.00000000000007]","[25.0, 0.0]",False,RIGHT,True
0.01,0.05,0.2912099361419678,"[51.050000000000125, 50.000000000000114]","[51.050000000000104, 50.00000000000009]","[30.0, 0.0]",False,RIGHT,True
0.01,0.060000000000000005,0.34763407707214355,"[51.40000000000015, 50.00000000000014]","[51.40000000000013, 50.000000000000114]","[35.0, 0.0]",False,RIGHT,True
0.01,0.07,0.4242689609527588,"[51.80000000000017, 50.00000000000017]","[51.800000000000146, 50.00000000000014]","[40.0, 0.0]",False,RIGHT,True
0.01,0.08,0.48137903213500977,"[51.80000000000019, 50.00000000000019]","[51.80000000000017, 50.00000000000017]","[0.0, 0.0]",False,,True
0.01,0.09,0.5379409790039062,"[51.80000000000021, 50.00000000000021]","[51.80000000000019, 50.00000000000019]","[0.0, 0.0]",False,,True
0.01,0.09999999999999999,0.5945370197296143,"[51.80000000000023, 50.050000000000225]","[51.80000000000021, 50.05000000000021]","[0.0, 5.0]",False,DOWN,True
0.01,0.10999999999999999,0.6510939598083496,"[51.800000000000246, 50.15000000000025]","[51.80000000000023, 50.150000000000226]","[0.0, 10.0]",False,DOWN,True
0.01,0.11999999999999998,0.707496166229248,"[51.80000000000026, 50.30000000000027]","[51.800000000000246, 50.300000000000246]","[0.0, 15.0]",False,DOWN,True
0.01,0.12999999999999998,0.7641489505767822,"[51.80000000000028, 50.50000000000029]","[51.80000000000026, 50.50000000000027]","[0.0, 20.0]",False,DOWN,True
0.01,0.13999999999999999,0.819774866104126,"[51.8000000000003, 50.75000000000031]","[51.80000000000028, 50.75000000000029]","[0.0, 25.0]",False,DOWN,True
0.01,0.15,0.8764619827270508,"[51.800000000000324, 51.050000000000324]","[51.8000000000003, 51.05000000000031]","[0.0, 30.0]",False,DOWN,True
0.01,0.16,0.9321460723876953,"[51.800000000000345, 51.40000000000035]","[51.800000000000324, 51.400000000000325]","[0.0, 35.0]",False,DOWN,True
0.01,0.17,0.9878630638122559,"[51.80000000000037, 51.80000000000037]","[51.800000000000345, 51.800000000000345]","[0.0, 40.0]",False,DOWN,True
0.01,0.18000000000000002,1.0441851615905762,"[51.80000000000039, 52.25000000000039]","[51.80000000000037, 52.25000000000037]","[0.0, 45.0]",False,DOWN,True
0.01,0.19000000000000003,1.1018540859222412,"[51.80000000000041, 52.75000000000041]","[51.80000000000039, 52.75000000000039]","[0.0, 50.0]",False,DOWN,True
0.01,0.20000000000000004,1.1597318649291992,"[51.80000000000043, 53.30000000000043]","[51.80000000000041, 53.30000000000041]","[0.0, 55.0]",False,DOWN,True
0.01,0.21000000000000005,1.2170312404632568,"[51.80000000000045, 53.90000000000045]","[51.80000000000043, 53.90000000000043]","[0.0, 60.0]",False,DOWN,True
0.01,0.22000000000000006,1.2746829986572266,"[51.80000000000047, 54.55000000000047]","[51.80000000000045, 54.55000000000045]","[0.0, 65.0]",False,DOWN,True
0.01,0.23000000000000007,1.3332829475402832,"[51.800000000000495, 55.2500000000005]","[51.80000000000047, 55.250000000000476]","[0.0, 70.0]",False,DOWN,True
0.01,0.24000000000000007,1.3901150226593018,"[51.800000000000516, 56.00000000000051]","[51.800000000000495, 56.0000000000005]","[0.0, 75.0]",False,DOWN,True
0.01,0.25000000000000006,1.4485690593719482,"[51.80000000000054, 56.80000000000053]","[51.800000000000516, 56.80000000000051]","[0.0, 80.0]",False,DOWN,True
0.01,0.26000000000000006,1.5077638626098633,"[51.80000000000056, 57.65000000000055]","[51.80000000000054, 57.65000000000053]","[0.0, 85.0]",False,DOWN,True
0.01,0.2700000000000001,1.565871000289917,"[51.80000000000058, 58.55000000000057]","[51.80000000000056, 58.55000000000055]","[0.0, 90.0]",False,DOWN,True
0.01,0.2800000000000001,1.6239569187164307,"[51.8000000000006, 59.5000000000006]","[51.80000000000058, 59.500000000000576]","[0.0, 95.0]",False,DOWN,True
0.01,0.2900000000000001,1.682279109954834,"[51.80000000000062, 60.50000000000061]","[51.8000000000006, 60.5000000000006]","[0.0, 100.0]",False,DOWN,True
0.01,0.3000000000000001,1.740468978881836,"[51.800000000000644, 61.55000000000064]","[51.80000000000062, 61.55000000000061]","[0.0, 105.0]",False,DOWN,True
0.01,0.3100000000000001,1.7996258735656738,"[51.800000000000665, 62.65000000000066]","[51.800000000000644, 62.65000000000064]","[0.0, 110.0]",False,DOWN,True
0.01,0.3200000000000001,1.8625929355621338,"[51.800000000000686, 63.80000000000068]","[51.800000000000665, 63.80000000000066]","[0.0, 115.0]",False,DOWN,True
0.01,0.3300000000000001,1.9213130474090576,"[51.800000000000715, 65.0000000000007]","[51.800000000000686, 65.00000000000068]","[0.0, 120.0]",False,DOWN,True
0.01,0.34000000000000014,1.9792931079864502,"[51.800000000000736, 66.25000000000071]","[51.800000000000715, 66.2500000000007]","[0.0, 125.0]",False,DOWN,True
